internal_sku,platform_sku,description,category
INT-9AF03D,73936,Stratocaster,Guitars>Electric solid body
INT-DFF831,73937,Strato Deluxe,Guitars>Electric solid body
INT-E7B8B3,73938,DR504,Amps>Heads
INT-97A69A,73939,Galaxie,Guitars>Electric solid body
INT-24EACA,73940,458 President,Guitars>Archtop>Electric
INT-41A545,73941,Committee,Guitars>Archtop>Electric
INT-8E8ED1,73942,Committee,Guitars>Archtop>Acoustic
INT-B9DEA6,73943,Ekomaster,Guitars>Electric solid body
INT-EAB6C6,74073,Jazzmaster THE WORLDS FINEST,Guitars>Electric solid body
INT-B13DA4,74075,ES330,Guitars>Semi-hollow body
INT-67CCCB,74076,Musicmaster,Guitars>Electric solid body
INT-86B3A6,74148,4003 Left Handed,Basses>4 string
INT-BCDE95,74219,Explorer GA18T,Amps>Combo
INT-90D7A4,74220,Casino,Guitars>Semi-hollow body
INT-6D13C2,74221,ES-345,Guitars>Semi-hollow body
INT-AE3E54,74222,Tenessean,Guitars>Semi-hollow body
INT-27FC37,74223,ES-355 TDSV,Guitars>Semi-hollow body
INT-DB0FD2,74224,AC30,Amps>Combo
INT-279ECF,74248,Duo Sonic Owned by John Lennon THE BEATLES,Guitars>Electric solid body
INT-F5D75D,74364,Jazz Bass,Basses>4 string
INT-5D0BCB,74365,EM-200 Electric Mandolin,Stringed Instruments>Mandolin & mandolin family
INT-3C078C,74367,Stratocaster Telecaster Tweed Case,Guitars>Miscellaneous
INT-AFB102,74829,ES355,Guitars>Semi-hollow body
INT-B23CAA,74830,Les Paul Elegant,Guitars>Electric solid body
INT-36C800,74831,Collectors choice CC28 Ronnie Montrose Les Paul,Guitars>Electric solid body
INT-EBD20E,74832,Stratocaster,Guitars>Electric solid body
INT-F59DF7,74833,Stingray 5 String Left Handed,Basses>5 string
INT-0FCE85,74834,Lonestar ex John Squire THE STONE ROSES,Amps>Combo
INT-EFD0C5,74851,Brian May Red Special,Guitars>Electric solid body
INT-CAF24D,75131,Custom Shop Andy Summers Tribute Telecaster,Guitars>Electric solid body
INT-591132,75251,EDS-1275 Twin Neck,Guitars>Electric solid body
INT-2974B2,75252,EB-18,Guitars>Electric solid body
INT-7DD974,75257,L5,Guitars>Semi-hollow body
INT-435EA3,75282,ES350T,Guitars>Semi-hollow body
INT-650DBE,75284,ES330 Prototype/Custom,Guitars>Semi-hollow body
INT-0B0193,75285,6120 Nashville,Guitars>Semi-hollow body
INT-37DAEC,75286,Les Paul,Guitars>Electric solid body
INT-6C36F5,75287,Archtop,Guitars>Semi-hollow body
INT-4EDA35,75288,Glitter top,Guitars>Electric solid body
INT-2D03B5,75319,172 Vinyl Top,Guitars>Electric solid body
INT-85922F,75321,ES355,Guitars>Semi-hollow body
INT-2061FD,75322,Custom Shop Glitter Stratocaster,Guitars>Electric solid body
INT-2A42CB,75455,500 Ekomaster V2,Guitars>Electric solid body
INT-23E23E,75456,500 V2 Ekomaster,Guitars>Electric solid body
INT-A2DBE1,75457,700 MUSEUM QUALITY,Guitars>Electric solid body
INT-2B0B33,75458,500 V3 Ekomaster,Guitars>Electric solid body
INT-8C9EAF,75459,500 V4 Ekomaster,Guitars>Flat top
INT-480294,75460,Elite Semi Acoustic,Guitars>Semi-hollow body
INT-D6593C,75461,40V,Guitars>Electric solid body
INT-41B356,75462,Elite Semi Acoustic,Guitars>Semi-hollow body
INT-5C0832,75464,Solid 2V Made in Italy,Guitars>Electric solid body
INT-EAAD8F,75691,J45,Guitars>Flat top
INT-803EDC,75692,Jet Firebird 6131,Guitars>Electric solid body
INT-53C291,75693,Joe Perry/Slash 1959 Les Paul Standard VOS,Guitars>Electric solid body
INT-0830B8,75694,Musicmaster,Guitars>Electric solid body
INT-2DA1F8,75695,PB24,Guitars>Electric solid body
INT-D42CF6,75696,Le sPaul Custom ALL GOLD,Guitars>Electric solid body
INT-C62E77,76173,D18,Guitars>Flat top
INT-5353C5,76174,D28,Guitars>Flat top
INT-F17895,76175,D35,Guitars>Flat top
