var_id	product_id	SKU	GTIN	MPN	RRP	POA	SellPrice1	sellprice2	sellprice3	sellprice4	mblimit1	mblimit2	mblimit3	costprice	stockitem	stock	stocktext	weight	oos	shippingquote	cond	WAS	attributevals	vtitle	lowstock	varprimary	enquire
2023	1900	JS64AC30			0	0	3599	0	0	0	0	0	0	0	1	1		37	0	0	new	0	NULL	default	0	1	0
2024	1901	JSMAR900			0	0	1950	0	0	0	0	0	0	0	1	1		27	0	0	new	0	NULL	default	0	1	0
2025	1902	JSKEND			0	0	3999	0	0	0	0	0	0	0	1	1		78	0	0	new	0	NULL	default	0	1	0
2026	1903	JSFWDM			0	0	999	0	0	0	0	0	0	0	1	0		6	1	0	new	0	NULL	default	0	1	0
2027	1905	BMSMM			0	0	749	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Brian May Special Metal May	0	1	0
2028	1906	FS50CB04			0	0	1099	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Fender Stratocaster 50th Anniversary 2004 in Chrome Blue	0	1	0
2029	1907	TWR2PE			0	0	199	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Roadster II TWR2 PE	0	1	0
2030	1908	TW45HSRE			0	0	1499	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Heritage TW45 H SR E	0	1	0
2031	1909	TWR2OLH			0	0	179	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Roadster II TWR2 O L/H	0	1	0
2032	1910	TWR2SFCELH			0	0	239	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Roadster II TWR2 SFCE L/H	0	1	0
2033	1911	TW45NSE			0	0	749	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Sundance Pro TW45 NS E	0	1	0
2034	1912	TW15ASM			0	0	699	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Sundance Pro TW15 ASM	0	1	0
2035	1913	TWUSFCE			0	0	239	0	0	0	0	0	0	0	1	0		0	1	0	new	0	NULL	Tanglewood Union TWU SFCE	0	1	0
2036	1914	TW5EGW			0	0	349	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Winterleaf TW5 E Gloss White	0	1	0
2037	1915	GLPSP03			0	0	1599	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	2003 Gibson Les Paul Standard Plus	0	1	0
2038	1916	00015MLH13			0	0	1299	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	2013 Martin 000-15M L/H	0	1	0
2039	1917	F45CESB			0	0	1499	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Guild F45 CE SB	0	1	0
2040	1918	TWBT			0	0	249	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood TWB T	0	1	0
2041	1919	TCB245			0	0	239	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Countryman TCB24 5 String Banjo	0	1	0
2042	1920	TWB18M6			0	0	299	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood TWB 18 M6 	0	1	0
2043	1921	BJWO5			0	0	279	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Stagg BJW-OPEN 5	0	1	0
2044	1922	JMIPBHCD			0	0	1800	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	JMI Piggy, Back, Head, and, Domino, Cab	0	1	0
2045	1923	HM100EOP			0	0	249	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Crafter HM-100E/OP Travel Electro Acoustic	0	1	0
2046	1924	TW5EKOA			0	0	399	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Winterleaf Exotic TW5 E KOA	0	1	0
2047	1925	TWCE2			0	0	279	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Tanglewood Winterleaf Classical TWCE 2	0	1	0
2048	1926	KA15SS			0	0	79	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Kala KA-15S-S Soprano Ukulele	0	1	0
2049	1927	THRTH			0	0	159	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Kala KA-THRTH-T Limited Edition Red 	0	1	0
2050	1928	KA-CE 			0	0	159	0	0	0	0	0	0	0	1	1		0	0	0	new	0	NULL	Kala KA-CE Mahogany Electro Acoustic Concert Ukulele	0	1	0
